,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
1680,333 Bloor Street East,Zeidler Roberts Partnership,1948,,Rogers Communications Bldg,Formerly the headquarters for Confederation Life.  Was purchased by Rogers Communications in order to function as the new head offices and facilities for Rogers Communications Inc. and Rogers Cablesystems.  The adjacent building (no. 1 Mount Pleasant Road -- the former Conferation Life Building) functions as the headquarters for Rogers Cantel.  The two buildings are connected via an overhead walkway and a tunnel.,Office Buildings
1681,77 Bloor Street West,,,,,,Office Buildings
1682,86 Bloor Street West,,1922,,Physicians & Surgeons Bldg.,Will be torn down as part of a plan to redevelope the site of the former University Theatre and a 26-storey condo will take its place.,Office Buildings
1683,315 Bloor Street West,Burke & Horwood (firm),1909,,Meteorological Building,Now serves as the Administartion Office of the University of Toronto.,Office Buildings
1684,300 Bremner Boulevard,Kuwabara Payne McKenna Blumberg (firm),1989,,Dome Productions,Office situated underneath the main structure of the Skydome.,Office Buildings
1685,14 Carlton Street,Chapman & Oxley (firm),,,Toronto Hydro Building,,Office Buildings
1686,45 Charles Street East,,,,,,Office Buildings
1687,56 Church Street,"Clinton & Russell (firm)
Mathers & Haldenby (firm)",July 1916,,Imperial Oil Building,Occupied street nos.56-60 Church Street.,Office Buildings
1688,110 Church Street,,c1910,1995,,,Office Buildings
1689,717 Church Street,Parkin John C.,mid 1950s,,ARIDO Headquarters,,Office Buildings
1690,80 College Street,Zeidler Roberts Partnership,1983,,Ontario College of Physicians,,Office Buildings
1691,155 College Street,Page & Steele (firm),,,Toronto District School Board Office,,Office Buildings
1692,30 Commercial Road,Markson Jerome,,,,,Office Buildings
1693,55 Constellation Court,Cowle John,,,,,Office Buildings
1694,175 Cumberland Street,Scolozzi Francesco,,,Italian Trade Centre,,Office Buildings
1695,101 Davenport Road,Parkin Partnership (firm),1985,,College of Nurses,,Office Buildings
1696,825 Don Mills Road,Parkin John B.,,,Imperial Oil Ltd.,,Office Buildings
1697,26 Duncan Street,Sterling Finlayson Archts (firms),c1998,,Communique Advertsing,,Office Buildings
1698,19 Dundas Square,Bond & Smith (firm),1913,,Hermant Building,,Office Buildings
1699,2975 Dundas Street West,,1887-1888,,James Hall,,Office Buildings
1700,17 Dundonald Street,Weir Cripps & Associates (firm),e1960s?,,Commercial Travellers's Assn.,,Office Buildings
1701,103 Dupont Street,Hamilton Peter,,,,,Office Buildings
1702,20 Eglinton Avenue East,,,,,,Office Buildings
1703,90 Eglinton Avenue East,,,,Pilot Insurance,,Office Buildings
1704,123 Eglinton Avenue East,Shore & Moffatt (firm),1958-1961,,Union Carbide Building,"Although building holds an historical designation, it is slated for demolition in the Fall of 1998, to make way for a condominium.",Office Buildings
1705,562 Eglinton Avenue East,Markson Jerome,,,,,Office Buildings
1706,53 Fraser Avenue,,,,,,Office Buildings
1707,2 Front Street East,James & James (firm),1889-1890,,Board of Trade Building,Occupied nos. 2-8 Front Street East,Office Buildings
1708,0 Front Street West,Storm William,1861-1862,,Northern Railway of Canada,,Office Buildings
1709,123 Front Street West,Parkin Partnership (firm),1993,,University Place,,Office Buildings
1710,0 Gardiner Expressway,Oleson Worland Architects (firm),,,iT-works,"Project will stretch over 1,000 feet along the northern edge of the Gardiner Expressway. Intended to provide office space for high technology companies on the southern edge of the ""Liberty Village"" High Technology Communications District.",Office Buildings
1711,19 Greenbelt Drive,Parkin John B.,1955,,Ortho Pharmaceutical Plant,,Office Buildings
1712,60 Harbour Street,Chapman & McGiffin (firm),,,Toronto Harbour Commission,,Office Buildings
1713,24 Hazelton Avenue,Markson Jerome,,,Southern Pacific Hotels,,Office Buildings
1714,7 King Street East,,1960s,1995,National Trust Building,,Office Buildings
1715,22 King Street East,Gouinlock George,,,National Trust Co.,,Office Buildings
1716,145 King Street East,Kuwabara Payne McKenna Blumberg (firm),1989-1991,,King James Place,,Office Buildings
1717,145 King Street East,,,,Saatchi and Saatchi,SEE:  King James Place (same address).,Office Buildings
1718,163 King Street East,Lennox Edward,1893,1935,Beard Building,"Regarded at the time of demolition as the city's first skyscraper, despite the fact that it was not constructed with a metal frame.",Office Buildings
1719,210 King Street East,Kuwabara Payne McKenna Blumberg (firm),,,Alias Wavefront Inc.,,Office Buildings
1720,0 King Street West,Langley Langley & Burke (firm),1874,,Canada Life Assurance Co.,,Office Buildings
1721,0 King Street West,Waite Richard,,,Canada Life Assurance Bldg.,Replaced Langley Langley & Burke's building (same name) on the same site after only 12 years.,Office Buildings
1722,3 King Street West,Lennox Edward,c1885-1886,,Beatty Building,,Office Buildings
1723,11 King Street West,Pellow & Associates (firm),,,11 King Street West,"Originally designed as the headquarters of Montreal Trust.  Historical designation from the Toronto Historical Board is pending due to its ""Miesian curtain wall"".",Office Buildings
1724,18 King Street West,Dick David,1878,1935,Star Buidling,Initailly the North of Scotland Chambers.  Owned by the Toronto Star 1905-1929.  SEE ALSO:  Toronto Star Building at 80 King Street West.,Office Buildings
1725,36 King Street West,"Curry Samuel
Marani Ferdinand",1898,1984,Wood Gundy Building,"Initially the John Kay and Son carpet store.  ""To make way for the new Scotia Plaza, the architecturally significant terra cotta facade was dismantled [in the summer of 1984] and recycled as part of a new building at 11 Adelaide St. West, also part of Scotia Plaza"".",Office Buildings
1726,55 King Street West,"Bird Eustace
Carrere & Hastings (firm)",1911-1913,c1955,Bank of Toronto,Occupied nos. 55-67 King Street West.  Demolished to make way for the Toronto Dominion Centre.,Office Buildings
1727,80 King Street West,Chapman & Oxley (firm),1929,1972,Toronto Star Building,,Office Buildings
1728,92 King Street West,Simpson Henry,c1896,,Metallic Roofing Co. of Can.,,Office Buildings
1729,212 King Street West,Darling & Pearson (firm),,,Union Building,Later housed Telfer's Restaurant.,Office Buildings
1730,645 King Street West,Tarnoy Victor,,,,,Office Buildings
1731,915 King Street West,"E.R.A. Architects Inc. (firm)
Kearns Mancini Architects (firm)
Lennox Edward
Miller George",1883,,Massey Harris Building,Initially designed by E. J. Lennox.  Rear addition added by architect George Miller.  Urbancorp (developers) are turning the building into a 60-unit condominium designed by ERA Architects.  SEE ALSO:  954 King Street West,Office Buildings
1732,1190 King Street West,Simpson Henry,c1906?,,Pressed Metal Building,Occupied nos. 1190-1192 King Street West. Functioned as the office building for the Metallic Roofing Company of Canada Ltd.,Office Buildings
1733,545 Lake Shore Boulevard West,Chapman Alfred,1927,,Crosse & Blackwell Building,In 1978 it was leased to CFMT - Channel 47.,Office Buildings
1734,0 Lake Street (not current),Lennox Edward,1896,,Cobban Manufacturing Co.,,Office Buildings
1735,180 Lesmill Road,Cravit Ortved Architects (firm),1964,,"Saffer, Cravit & Freedman Off.",,Office Buildings
1736,10 Lower Spadina Avenue,"Fujiwara David
Gehry Frank",c1988-89,,Chiat / Day Offices,Frank Gehry designed the 6th and 7th floor offices.,Office Buildings
1737,250 Merton Street,,,,,,Office Buildings
1738,276 Merton Street,,,,,Sunquest Vatations Ltd. office building,Office Buildings
1739,325 Milner Avenue,Star Hicks Spragge Archts (firm),e1990s?,,325 Milner,,Office Buildings
1740,0 Mississauga Road North,Adamson Associates (firm),c2000,,Royal Bank Centre,Located in the Meadowvale North Business Park,Office Buildings
1741,60 Murray Street,Sproatt & Rolph (firm),1955,,Ontario Hydro Engineering Bldg,,Office Buildings
1742,0 Pailton Crescent,,,,,Buidling features 7'x5' cast bronze doors with a theme drawn from Orphic and Eleusian mysteries in the culture of ancient Greece.,Office Buildings
1743,50 Park Road,Parkin John B.,,,Ontario Assn. of Architects HQ,,Office Buildings
1744,0 Pembroke Street,Cumberland & Storm (firm),never built,,Canadian Institute Building,,Office Buildings
1745,10 Price Street,Taylor Hariri Pontarini (firm),,,Karo (Toronto) Inc.,Located on the ground floor of a 1950s building.,Office Buildings
1746,10 Queen Street East,Brown J. Francis,1909,1995,Alton Building,,Office Buildings
1747,15 Queen Street East,,,,Small Claims Court,,Office Buildings
1748,17 Queen Street East,,,,,,Office Buildings
1749,107 Queen Street East,,1870,,Queen Richmond Centre,SEE ALSO: Robertson Bros. Candy Factory (same address),Office Buildings
1750,163 Queen Street East,Jones & Kirkland Archts. (firm),1989,,,,Office Buildings
1751,223 Queen Street East,Van Eslander Terence,,,Idee Inc.,,Office Buildings
1752,334 Queen Street East,,,,,,Office Buildings
1753,0 Queen Street West,Lennox Edward,1900,yes,Manning Chambers,,Office Buildings
1754,8 Richmond Street East,"Gray J. Wilson
Knox Elliot & Jarvis (firm)
Thom Partnership (firm)",,,Confederation Life Building,Address varies in literature from no.2 to no.20 Richmond Street East.   SEE ALSO:  Confederation Square (1980s redevelopment) at Yonge and Richmond Streets.,Office Buildings
1755,20 Richmond Street East,,,,Confederation Life Building,"SEE:  no.8 Richmond Street East;  or, Conferation Square at Yonge and Richmond Streets.",Office Buildings
1756,45 Richmond Street West,Baldwin & Greene (firm),1927-1928,,Central Building,,Office Buildings
1757,73 Richmond Street West,Baker Francis,1911-1913,,Graphic Arts Building,"Built for the Toronto Saturday Night Publishing Co.  Not to be confused with the art gallery building at the Canadian National Exhibition.  Housed ""Hy's Restaurant"" until Jan. 1998.   Being redeveloped into a four-level live and work loft condominium complex.",Office Buildings
1758,85 Richmond Street West,,,,,,Office Buildings
1759,111 Richmond Street West,Page & Steele (firm),,,,,Office Buildings
1760,121 Richmond Street West,Bregman + Hamann Architects,,,,,Office Buildings
1761,401 Richmond Street West,Zeidler Margaret,1899-1923,,401 Richmond St. West,Formerly a tin lithography factory.  Constructed in five stages from 1899-1923.,Office Buildings
1762,1333 Sheppard Avenue East,Markson Jerome,,,North York Medical Arts Building,,Office Buildings
1763,740 Spadina Avenue,,,,,,Office Buildings
1764,76 St. Clair Avenue West,Murray James,1954,1997,Anglo Canada Insurance,,Office Buildings
1765,84 St. Clair Avenue West,Fleury Arthur & Barclay (firm),,,Canada Packers Building,,Office Buildings
1766,95 St. Clair Avenue West,Webb Zerafa Menkes (firm),,,Imperial Life Building,,Office Buildings
1767,111 St. Clair Avenue West,Mathers & Haldenby (firm),Apr. 1957,,Imperial Oil Building,,Office Buildings
1768,170 St. George Street,"Marani Lawson & Paisley (firm)
Page & Steele (firm)",Sept 1929,,Medical Arts Building,,Office Buildings
1769,240 St. George Street,"Diamond & Myers (firm)
Myers Barton",1968,,Ontario Medical Association,,Office Buildings
1770,10 St. Mary Street,Mathers & Haldenby (firm),1957,,,,Office Buildings
1771,3125 Steeles Avenue East,Shore Tilbe Irwin & Partners,c2000,,Steeles Technology Centre,,Office Buildings
1772,6 Temperance Street,Herbert Frederick H.,,,Dineen Building,Address sometimes listed as 14-142 Yonge Street.  Initially the compant was located at no.76 Yonge Street.  A Factory (nos 10-12 Temperance St.) was added in 1902.,Office Buildings
1773,66 Temperance Street,,,,,,Office Buildings
1774,17 Toronto Street,"Dick David
Grant & Dick (firm)",1876,,Consumers' Gas Co. of Toronto,,Office Buildings
1775,19 Toronto Street,,c1852?,,Consumers Gas Company,Attributed to Joseph Sheard.  Building later housed the Councel Trust Company.   Now houses the Rosewater Supper Club.,Office Buildings
1776,20 Toronto Street,"Lennox Edward
Marani Morris & Allan (firm)",,,Excelsior Life Insurance Co.,,Office Buildings
1777,26 Toronto Street,Langley Langley & Burke (firm),1876-1878,1914,Union Loan and Savings Co.,Occupied nos. 26-30 Toronto Street. See also no. 32 Toronto Street for additional office building owned by the Union Loan and Savings Company (1873).  Demolished with the Toronto Union Block in 1914 to make way for E.J. Lennox's Skyscraper office tower for the Excelsior Life Insurance Company.,Office Buildings
1778,32 Toronto Street,James & Lalor (firm),1873,,Union Loan and Savings Co.,Occupied nos. 32-40 Toronto Street.  Demolished to make way for the a Beaux-Arts Classical skyscraper by E.J. Lennox (1914-1915).,Office Buildings
1779,36 Toronto Street,"Lennox Edward
Strong William",1915,,Excelsior Life Building,SEE also: no. 20 Toronto Street.  Architects vary with sources.,Office Buildings
1780,1 University Avenue,"Brisbin Brian
Brook Carruthers Shaw (firm)",c1986,,,,Office Buildings
1781,55 University Avenue,,,,,,Office Buildings
1782,70 University Avenue,Strong William,c1986,,,,Office Buildings
1783,88 University Avenue,"Foster Leslie
Webb Zerafa Menkes Housden (firm)",c1960s,,,,Office Buildings
1784,393 University Avenue,Webb Zerafa Menkes Housden (firm),,,Bell Canada Building,,Office Buildings
1785,481 University Avenue,"Marani & Morris (firm)
Sproatt & Rolph (firm)
Strong William",1911,,Maclean Hunter Building,"Became the offices of publisher McClelland & Stewart c1977?.  Addition by Marani & Morris from 1961.  Post-modern façade addition by William Strong Associates, 1984.",Office Buildings
1786,505 University Avenue,Marani & Morris (firm),,,Shell Oil Company,,Office Buildings
1787,610 University Avenue,Gouinlock George,1915,,Hydro-Electric Building,Became part of the Princess Margaret Hospital and Ontario Cancer Institute in 1995.,Office Buildings
1788,620 University Avenue,Sproatt & Rolph (firm),,,Ontario Hydro Building,Became part of the Princess Margaret Hospital and Ontario Cancer Institute in 1995.,Office Buildings
1789,700 University Avenue,Cooper Kenneth,1975,,Hydro Place,,Office Buildings
1790,16 Victoria Street,Mathers & Haldenby (firm),,,Imperial Life Insurance Co.,Occupies street adress No.16-32 Victoria Street,Office Buildings
1791,73 Victoria Street,,1890,,Comstock Building,,Office Buildings
1792,297 Victoria Street,Chapman & Oxley (firm),,,O'Keefe House,Headquarters of Canadian Brewers Limited.,Office Buildings
1793,215 Wellesley Street East,Brook Carruthers Grierson Shaw (firm),,,Elizabeth Fry Society,,Office Buildings
1794,17 Wellington Street East,Smith & Gemmell (firm),1870-1871,,Montreal Telegraph Company,,Office Buildings
1795,49 Wellington Street East,"E.R.A. Architects Inc. (firm)
Roberts David Junior",1892,,Flatiron Building,"Also known as the ""Gooderham Building"" .  Trompe  l'oeil mural entitled "" Flatiron Mural"" by artist Derek Besant, 1980.",Office Buildings
1796,17 Wellington Street West,Cumberland & Storm (firm),1858,1929,Edinburgh Life Assurance Co.,,Office Buildings
1797,95 Wellington Street West,Pellow Architects (firm),c1986,,,,Office Buildings
1798,137 Wellington Street West,Baldwin & Greene (firm),1929,,,"Occupied street nos. 137-143 Wellington Street (West).  May have been know as the ""Wellington Building""",Office Buildings
1799,517 Wellington Street West,"Grey-Noble Norman
Moore Thomas",,,Netspec Marketing Ltd.,,Office Buildings
1800,0 Weston Road,Markson Jerome,1961,,International Woodworkers of America,,Office Buildings
1801,53 Woodlawn Avenue East,Weir Cripps & Associates (firm),e1960s?,,Current Publications Building,,Office Buildings
